Label	Source
AGAP2•cnt-2(ok1767)	AGAP2(cnt-2)
AKAP9•hcp-1(gk237614)	AKAP9(hcp-1)gk237614
AP2S1•aps-2(tm2752)	AP2S1(aps-2)
ARID1B•let-526(gk110913)	ARID1B(let-526)gk110913
ARX•unc-4(e120)	ARX(unc-4)e120
ARX•unc-4(gk705)	ARX(unc-4)gk705
BCL11A•bcl-11(tm522)	BCL11A(bcl-11)
CACNA1C•egl-19(n582)	CACNA1C(egl-19)
CACNA1E•unc-2(e55)	CACNA1C(unc-2)e55
CACNA1E•unc-2(gk366)	CACNA1C(unc-2)gk366
CACNA1H•cca-1(ad1650)	CACNA1H(cca-1)
CACNA2D3•unc-36(ad698)	CACNA2D3(unc-36)ad698
CACNA2D3•unc-36(e251)	CACNA2D3(unc-36)e251
CDKL5•cdkl-1(ok2694)	CDKL5(cdkl-1)
CELF4•unc-75(e950)	CELF4(unc-75)e950
CELF4•unc-75(tm9711)	CELF4(unc-75)tm9711
CHD2•chd-1(ok2798)	CHD2(chd-1)
CHD8•chd-7(gk306)	CHD8(chd-7)
CLASP1•cls-3(ok3375)	CLASP1(cls-3)ok3375
CLASP1•cls-3(tm5775)	CLASP1(cls-3)tm5775
CORO1A•cor-1(ok869)	CORO1A(cor-1)
CREBBP•cbp-1(ku258)	CREBBP(cbp-1)
CTNNB1•bar-1(ga80)	CTNNB1(bar-1)ga80
CTNNB1•bar-1(mu63)	CTNNB1(bar-1)mu63
CTNNB1•hmp-2(qm39)	CTNNB1(hmp-2)
CTNND2•jac-1(ok3000)	CTNND2(jac-1)
DHCR7•dhcr-7(tm6473)	DHCR7(dhcr-7)
DIP2A•dip-2(ok885)	DIP2A(dip-2)ok885
DMD•dys-1(cx18)	DMD(dys-1)
DMPK•mrck-1(ok586)	DMPK1(mrck-1)
DPYSL2•dhp-1(tm1072)	DPYSL2(dhp-1)
DSCAM•igcm-1(ok711)	DSCAM(igcm-1)
DST•vab-10(e698)	DST(vab-10)e698
DST•vab-10(gk45)	DST(vab-10)gk45
DYRK1A•mbk-1(pk1389)	DYRK1A(mbk-1)
EHMT1•set-11(n4488)	EHMT1(set-11)
ELAVL3•exc-7(ok370)	ELAVL3(exc-7)ok370
